#separator:Comma
#html:true
#notetype:GMAT MCQ
#deck:GMAT::Practice
#tags column:9
"The lunch menu at a certain restaurant contains 4 different entrees and 5 different side dishes.  If a meal consists of 1 entree and 2 different side dishes, how many different meal combinations could be chosen from this menu?",10,20,40,80,100,C,,GMAT::Quant::ProblemSolving
"A school purchased 2 computers whose prices were $1,000 and $2,000, respectively.  The school is to purchase 2 more computers from a list of computers whose prices range from $1,000 to $2,000, inclusive.  The greatest possible average (arithmetic mean) price of the 4 computers is how much greater than the least possible average price of the 4 computers?",$250,$500,$750,"$1,000","$1,250",B,,GMAT::Quant::ProblemSolving
"Connie paid a sales tax of 8 percent on her purchase.  If the sales tax had been only 5 percent, she would have paid $12 less in sales tax on her purchase.  What was the total amount that Connie paid for her purchase including sales tax?",$368,$380,$400,$420,$432,E,,GMAT::Quant::ProblemSolving
"A grocer stacked oranges in a pile.  The bottom layer was rectangular with 3 rows of 5 oranges each.  In the second layer from the bottom, each orange rested on 4 oranges from the bottom layer, and in the third layer, each orange rested on 4 oranges from the second layer.  Which of the following is the maximum number of oranges that could have been in the third layer?",5,4,3,2,1,C,,GMAT::Quant::ProblemSolving
"A farm used two harvesting machines, H and K, to harvest 100 acres of wheat.  Harvesting machine H, working alone at its constant rate, harvested 40 acres of wheat in 8 hours.  Then harvesting machine K was brought in, and harvesting machines H and K, working together at their respective constant rates, harvested the remaining acres of wheat in 5 hours.  Harvesting machine K harvested how many acres of wheat per hour?",7,8,12,13,15,A,,GMAT::Quant::ProblemSolving
"A charitable organization has a goal of raising $300,000 in 100 days.  If it raised $200,000 in the first 60 days, what is the average (arithmetic mean) number of dollars per day that it must raise for the last 40 days in order to achieve its goal?","$2,500","$3,000","$5,000","$6,000","$7,500",A,,GMAT::Quant::ProblemSolving
"Of the 50 employees of a certain company, 30 earn an average (arithmetic mean) salary of $30,000, 15 earn an average salary of $40,000, and 5 earn an average salary of $60,000.  What is the average salary earned by the employees of this company?","$30,000","$36,000","$40,000","$45,000","$50,000",B,,GMAT::Quant::ProblemSolving
"At 12:00 noon, the temperature in a certain storage room was 64.  If the temperature in the storage room decreased at a constant rate of 2 per hour for the next 8 hours, what was the temperature in the storage room at 8:00 in the evening?",2,8,16,48,54,D,,GMAT::Quant::ProblemSolving
"In a certain group of 10 members, 4 members teach only French and the rest teach only Spanish or German.  If the group is to choose a 3-member committee, which must have at least 1 member who teaches French, how many different committees can be chosen?",40,50,64,80,100,E,,GMAT::Quant::ProblemSolving
"Last semester an assistant was paid a total of $800 for grading papers in a class of 37 students.  If each student handed in 7 papers and the assistant graded all of these papers, then, to the nearest whole dollar, the assistant&#x27;s pay per paper graded was",$5,$4,$3,$2,$1,C,,GMAT::Quant::ProblemSolving
"Amy&#x27;s grade was the 90th percentile of the 80 grades for her class.  Of the 100 grades from another class, 19 were higher than Amy&#x27;s, and the rest were lower.  If no other grade was the same as Amy&#x27;s grade, then Amy&#x27;s grade was what percentile of the grades of the two classes combined?",72nd,80th,81st,85th,92nd,D,,GMAT::Quant::ProblemSolving
"To determine her state income tax last year, Elena computed 5 percent of her gross income, rounded the resulting figure down to the nearest $100, and subtracted $50 for each dependent that she claimed.  If Elena&#x27;s gross income was $34,500 and she claimed 2 dependents, how much did she determine her state income tax to be?","$1,600","$1,625","$1,650","$1,675","$1,700",A,,GMAT::Quant::ProblemSolving
"The area of a square garden is A square feet and the perimeter is P feet.  If A = 2P + 9, what is the perimeter of the garden, in feet?",28,36,40,56,64,B,,GMAT::Quant::ProblemSolving
"At a certain supplier, a machine of type A costs $20,000 and a machine of type B costs $50,000.  Each machine can be purchased by making a 20 percent down payment and repaying the remainder of the cost and the finance charges over a period of time.  If the finance charges are equal to 40 percent of the remainder of the cost, how much less would 2 machines of type A cost than 1 machine of type B under this arrangement?","$10,000","$11,200","$12,000","$12,800","$13,200",E,,GMAT::Quant::ProblemSolving
"Bobby bought two shares of stock, which he sold for $96 each.  If he had a profit of 20 percent on the sale of one of the shares but a loss of 20 percent on the sale of the other share, then on the sale of both shares combined Bobby had",a profit of $10,a profit of $8,a loss of $8,a loss of $10,neither a profit nor a loss,C,,GMAT::Quant::ProblemSolving
"A certain brand of gasoline costs $1.25 per gallon.  Using this gasoline, if a car averages 30 miles to the gallon, what is the cost of the gasoline needed for the car to travel 120 miles?",$4.50,$5.00,$5.50,$6.00,$6.50,B,,GMAT::Quant::ProblemSolving
"A certain restaurant offers 6 kinds of cheese and 2 kinds of fruit for its dessert platter.  If each dessert platter contains an equal number of kinds of cheese and kinds of fruit, how many different dessert platters could the restaurant offer?",8,12,15,21,27,E,,GMAT::Quant::ProblemSolving
What is the greatest prime factor of 417 - 228 ?,2,3,5,7,11,D,,GMAT::Quant::ProblemSolving
"An automobile manufacturer offers a station wagon with either a 6-cylinder engine or a 4-cylinder engine and with either a manual transmission or an automatic transmission.  A trailer hitch is also offered, but only on a station wagon with a 6-cylinder engine.  How many combinations of the five options listed does the manufacturer offer for its station wagon?",3,4,5,6,8,D,,GMAT::Quant::ProblemSolving
"The temperature of a certain cup of coffee 10 minutes after it was poured was 120 degrees Fahrenheit.  If the temperature F of the coffee t minutes after it was poured can be determined by the formula F = 120[2^(-at)] + 60, where F is in degrees Fahrenheit and a is a constant, then the temperature of the coffee 30 minutes after it was poured was how many degrees Fahrenheit?",65,75,80,85,90,B,,GMAT::Quant::ProblemSolving
"If x is an odd integer, which of the following is also an odd integer?",2x,4x + 2,x2 + 3,x2 + x + 3,x2 + 2x + 1,D,,GMAT::Quant::ProblemSolving
"The mass of 1 cubic meter of a substance is 800 kilograms under certain conditions.  What is the volume, in cubic centimeters, of 1 gram of this substance under these conditions?  (1 kilogram = 1,000 grams and 1 cubic meter = 1,000,000 cubic centimeters)",0.80,1.25,8.00,12.50,80.00,B,,GMAT::Quant::ProblemSolving
"Lisa bought a house for $70,000 and paid closing costs equal to 2 percent of the purchase price.  Later Lisa sold the house for $82,000 and paid a broker&#x27;s commission equal to 10 percent of the selling price. What was Lisa&#x27;s profit from the two transactions?","$2,160","$2,400","$3,600","$3,800","$12,000",B,,GMAT::Quant::ProblemSolving
"70, 75, 80, 85, 90, 105, 105, 130, 130, 130<br>The list shown consists of the times, in seconds, that it took each of 10 schoolchildren to run a distance of 400 meters.  If the standard deviation of the 10 running times is 22.4 seconds, rounded to the nearest tenth of a second, how many of the 10 running times are more than 1 standard deviation below the mean of the 10 running times?",One,Two,Three,Four,Five,B,,GMAT::Quant::ProblemSolving
"A stamping machine produces 100 gaskets per hour.  When this machine works with a newer machine, the two machines, working simultaneously and independently at their respective constant rates, produce a total of 2,000 gaskets in 8 hours.  How many gaskets does the newer machine produce per hour?",125,150,160,175,200,B,,GMAT::Quant::ProblemSolving
"For any triangle T in the xy-coordinate plane, the center of T is defined to be the point whose x-coordinate is the average (arithmetic mean) of the x-coordinates of the vertices of T and whose y-coordinate is the average of the y-coordinates of the vertices of T.  If a certain triangle has vertices at the points (0,0) and (6,0) and center at the point (3,2), what are the coordinates of the remaining vertex?","(3,4)","(3,6)","(4,9)","(6,4)","(9,6)",B,,GMAT::Quant::ProblemSolving
"Lynn lent Robert $10,000 at 6 percent simple annual interest to be repaid at the end of 3 years.  What was the total amount that Robert had to pay to Lynn?","$10,180","$10,190","$10,600","$11,800","$11,910",D,,GMAT::Quant::ProblemSolving
"Nathan took out a student loan for $1,200 at 10 percent annual interest, compounded annually.  If he did not repay any of the loan or interest during the first 3 years, which of the following is closest to the amount of interest that he owed for the 3 years?",$360,$390,$400,$410,$420,C,,GMAT::Quant::ProblemSolving
"If 0 &lt; m &lt; 1, which of the following expressions has the least value?",m,m^2,m^3,2 - m,(m + 1)^2,C,,GMAT::Quant::ProblemSolving
"Five pieces of wood have an average (arithmetic mean) length of 124 centimeters and a median length of 140 centimeters.  What is the maximum possible length, in centimeters, of the shortest piece of wood?",90,100,110,130,140,B,,GMAT::Quant::ProblemSolving
"In the xy-plane, line k has positive slope and x-intercept 4.  If the area of the triangle formed by line k and the two axes is 12, what is the y-intercept of line k ?",-6,-4,-3,3,6,A,,GMAT::Quant::ProblemSolving
"Machines X and Y produce bottles at their respective constant rates.  Machine X produces k bottles in 6 hours and machine Y produces k bottles in 2 hours.  How many hours does it take machines X and Y, working simultaneously, to produce 12k bottles?",8,12,15,18,24,D,,GMAT::Quant::ProblemSolving
"The number of years of service of the eight employees in a production department are 15, 10, 9, 17, 6, 4, 14, and 16.  What is the range in the number of years of service of the eight employees?",10,11,12,13,14,D,,GMAT::Quant::ProblemSolving
"Bob invested $2,000 in fund A and $1,000 in fund B.  Over the next two years, the money in fund A earned a total interest of 12 percent for the two years combined and the money in fund B earned 30 percent annual interest compounded annually.  Two years after Bob made these investments, Bob&#x27;s investment in fund A was worth how much more than his investment in fund B ?",$500,$550,$600,$650,$700,B,,GMAT::Quant::ProblemSolving
"The distributor of cases of a certain beverage charges $60 per case for orders of 1 to 5 cases, $50 per case for orders of 6 to 20 cases, and $45 per case for orders of more than 20 cases.  If the distributor filled three orders, one for 3 cases of the beverage, one for 11 cases of the beverage, and one for 30 cases of the beverage, what was the total amount the distributor charged for the orders?","$1,960","$2,000","$2,040","$2,080","$2,120",D,,GMAT::Quant::ProblemSolving
